Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2016,6365,5/6/2016,Se emitió recomendación,Comisaría General de Seguridad Pública del Estado,Comisaría General de Seguridad Pública del Estado,Lesiones,Tonalá
2016,6365,5/6/2016,Se emitió recomendación,Comisaría General de Seguridad Pública del Estado,Comisaría General de Seguridad Pública del Estado,Abuso sexual,Tonalá
2016,7327,6/2/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Autlán De Navarro
2016,7327,6/2/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Autlán De Navarro
2016,7327,6/2/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la integridad y seguridad personal,Autlán De Navarro
2016,8923,6/25/2016,Conciliación,Ayuntamiento de Zapopan,Ayuntamiento,Hostigamiento sexual,Zapopan
2016,8923,6/25/2016,Conciliación,Ayuntamiento de Zapopan,Ayuntamiento,Violación a los derechos laborales,Zapopan
2016,10895,7/4/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Tonalá
2016,10895,7/4/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tonalá
2016,10921,7/6/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Lagos De Moreno
2016,10921,7/6/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Amenazas,Lagos De Moreno
